file	size_bytes	status	baseline_min_ms	baseline_median_ms	baseline_mean_ms	baseline_max_ms	tested_min_ms	tested_median_ms	tested_mean_ms	tested_max_ms	ratio_baseline_over_tested	baseline_error	tested_error
cpython-3.8/Lib/asyncio/__init__.py	1227	ok	17.517170	18.811419	19.273411	21.474284	0.288310	0.380834	0.531936	1.137043	49.395364		
cpython-3.8/Lib/asyncio/__main__.py	3379	ok	18.125290	19.716460	19.613817	20.721637	0.416359	0.452152	0.590403	1.202699	43.605857		
cpython-3.8/Lib/asyncio/base_events.py	72621	ok	24.272745	26.048230	25.961818	27.812348	1.568666	2.162030	2.074582	2.777648	12.048045		
cpython-3.8/Lib/asyncio/base_futures.py	2574	ok	17.858420	21.274142	20.898172	22.259198	0.285291	0.495815	0.695245	1.502410	42.907383		
cpython-3.8/Lib/asyncio/base_subprocess.py	8843	ok	18.991372	21.712962	21.236377	23.004278	0.570984	0.664337	0.840989	1.607112	32.683654		
cpython-3.8/Lib/asyncio/base_tasks.py	2467	ok	17.491253	19.952942	19.609838	21.729278	0.407968	0.564241	0.783259	1.458007	35.362473		
cpython-3.8/Lib/asyncio/constants.py	888	ok	17.926758	18.640262	19.130396	21.057918	0.331027	0.752227	0.724473	1.265560	24.780100		
cpython-3.8/Lib/asyncio/coroutines.py	8797	ok	19.623621	20.161423	20.282531	21.208163	0.546506	0.602521	0.797568	1.277042	33.461749		
cpython-3.8/Lib/asyncio/events.py	26164	ok	19.312461	21.507760	21.462407	23.283753	0.771897	1.282967	1.324870	1.929016	16.764078		
cpython-3.8/Lib/asyncio/exceptions.py	1633	ok	17.760571	19.989331	19.639035	21.305759	0.338770	0.450283	0.572940	1.012815	44.392850		
cpython-3.8/Lib/asyncio/format_helpers.py	2404	ok	17.803800	19.779169	19.657464	21.763387	0.356745	0.500422	0.612849	1.062770	39.524973		
cpython-3.8/Lib/asyncio/futures.py	13154	ok	18.631960	21.103828	20.737453	22.139962	0.584811	1.203069	1.168421	2.237150	17.541657		
cpython-3.8/Lib/asyncio/locks.py	17276	ok	19.135314	20.260815	20.678288	22.829627	0.614124	0.694503	0.872223	1.571695	29.173135		
cpython-3.8/Lib/asyncio/log.py	124	ok	18.124350	18.924558	19.296930	21.595032	0.291327	0.314791	0.347270	0.577235	60.117796		
cpython-3.8/Lib/asyncio/proactor_events.py	32060	ok	20.614365	22.517933	22.636508	24.418614	0.972288	1.058258	1.218614	1.952405	21.278309		
cpython-3.8/Lib/asyncio/protocols.py	7136	ok	18.429466	19.372619	19.617486	21.610131	0.397800	0.459291	0.476339	0.600652	42.179368		
cpython-3.8/Lib/asyncio/queues.py	8223	ok	19.716974	20.095258	20.038504	20.330167	0.495841	1.122003	1.068003	2.602970	17.910167		
cpython-3.8/Lib/asyncio/runners.py	2054	ok	18.429384	19.148334	19.340809	20.872894	0.325662	0.465944	0.603205	1.185119	41.095740		
cpython-3.8/Lib/asyncio/selector_events.py	38996	ok	21.445117	23.375046	23.549385	25.362043	1.114591	1.298377	1.412437	2.089119	18.003285		
